Plan Name,Plan Price,Speed,Data,Mobile Hotspot,Duration,LOCAL or International talkative,Talktime,Talktime Countries,Text message,International text,Texting- Countries,Streaming Quality,Discount
Verizon:,,,,,,,,,,,,,
Unlimited Ultimate,$55.00,5G,Unlimited,60GB,Monthly,International,Unlimited,"Mexico, Canada and 1 additional country of your choice from 220+ countries(5h)",International,Unlimited,210+ Countries,Up to 1080p HD,
Unlimited Plus,$45.00,5G,Unlimited,30GB,Monthly,International,Unlimited,Mexico and Canada,International,Unlimited,Over 200 countries,Up to 720p HD,
Unlimited Welcome,$30.00,5G,0,0,Monthly,International,Unlimited,Mexico and Canada,International,Unlimited,Over 200 countries,Up to 480p HD,
35$ plan,$45.00,5G,15GB,Unlimited,Monthly,International,Unlimited ,Mexico and Canada,International,Unlimited,Over 200 countries,Up to 480p HD,
Unlimited,$60.00,5G,Unlimited,5GB,Monthly,International,Unlimited ,Mexico and Canada,International,Unlimited ,Over 200 countries,Up to 480p HD,
Unlimited Plus,$70.00,5G,50GB,25GB,Monthly,International,Unlimited ,"Mexico, Canada and 1 additional country of your choice from 220+ countries",International,Unlimited ,Over 200 countries,Up to 480p HD,
Fedo:,,,,,,,,,,,,,
"20GB, Talk & Text, BYOP",$44.00,4G,20GB,,Monthly,Local,Unlimited ,Canada,,Unlimited,,,After $10.00 Automatic Payments Discount
"40GB, Talk & Text, BYOP",$49.00,4G,40GB,,Monthly,Local,Unlimited ,Canada,,Unlimited,,,After $10.00 Automatic Payments Discount
"60GB, Talk & Text, BYOP",$54.00,4G,60GB,,Monthly,Local,Unlimited ,Canada,,Unlimited,,,After $10.00 Automatic Payments Discount
Talk & Text, BYOP,$25.00,-,0,,Monthly,Local,Unlimited ,Canada,,Unlimited,,,
Basic Plan, BYOP,$15.00,3G,240MB,,Monthly,Local,Unlimited,Canada,,Unlimited ,,,
Simplemobile:,,,,,,,,,,,,,
39$ plan,$39.00,5G,50GB,,Monthly,,Unlimited,,,,,,
45$ plan,$45.00,5G,65GB,,Monthly,,Unlimited,,,,,,
35$ plan,$35.00,5G,50GB,,Monthly,,Unlimited,,,,,,
30$ plan,$30.00,5G,20GB,,Monthly,,Unlimited ,,,,,,
23$ plan,$23.00,5G,6GB,,Monthly,,Unlimited ,,,,,,
19$ plan,$19.00,5G,1GB,,Monthly,,Unlimited ,,,,,,
Freedom:,,,,,,,,,,,,,
$35 Plan,$35.00,5G,50GB data,,Monthly,,Unlimited,,Unlimited,,,,
$45 Plan,$45.00,5G,75GB data,,Monthly,,Unlimited,,Unlimited,,,,
$55 Plan,$55.00,5G,100GB data,,Monthly,,Unlimited,,Unlimited,,,,
$5 Plan,$5.00,5G,100MB data,,Monthly,,2 hours,,Unlimited,,,,
$20 Plan,$20.00,5G,3GB data,,Monthly,,2 hours,,Unlimited,,,,
$29 Plan,$29.00,5G,10GB data,,Monthly,,Unlimited,,Unlimited,,,,
$65 Plan,$65.00,5G,100GB data,,Monthly,,Unlimited,,Unlimited,,,,
$99 Plan,$99.00,5G,NAN,,yearly,,Unlimited ,,Unlimited Incoming,,,,
$119 Plan,$119.00,5G,15GB,,yearly,,Unlimited,,Unlimited,,,,
$149 Plan,$149.00,5G,30GB,,yearly,,Unlimited,,Unlimited,,,,
Rogers:,,,,,,,,,,,,,
5G Infinite Lite,$39.00,5G,50GB,,Monthly,,,,,,,,
5G Infinite Lite,$49.00,5G,50GB,,Monthly,,,,,,,,
5G Infinite Essential,$65.00,5G,75GB,,Monthly,,,,,,,,
5G Infinite Extra,$80.00,5G,150GB,,Monthly,,,,,,,,
5G Infinite Premium,$100.00,5G,175GB,,Monthly,,,,,,,,
5G Infinite Essential,$75.00,5G,100GB,,Monthly,,,,,,,,
5G Infinite Extra,$90.00,5G,175GB,,Monthly,,,,,,,,
5G Infinite Premium,$110.00,5G,200GB,,Monthly,,,,,,,,
5G Infinite Lite,$39.00,5G,50GB,,Monthly,,,,,,,,
5G Infinite Lite,$49.00,5G,50GB,,Monthly,,,,,,,,
5G Infinite Essential,$60.00,5G,75GB,,Monthly,,,,,,,,
Verizon:,,,,,,,,,,,,,
,,,,,,,,,,,,,
AddOn Plan Name,AddOn Plan Price,AddOn Saving,,,,,,,,,,,
Disney Bundle,$10/mo,Save $11.99/mo,,,,,,,,,,,
Netflix & Max (With Ads),$10/mo,Save $6.98/mo,,,,,,,,,,,
Apple One,$10/mo,Save $9.95/mo,,,,,,,,,,,
Walmart+ Membership,$10/mo,Save $2.95/mo,,,,,,,,,,,
Apple Music Family,$10/mo,Save $6.99/mo,,,,,,,,,,,
YouTube Premium,$10/mo,Save $3.99/mo,,,,,,,,,,,
100 GB Mobile Hotspot,$10/mo,Save $35/mo,,,,,,,,,,,
+play Monthly Credit,$10/mo,Save $5/mo,,,,,,,,,,,
3 TravelPass Days,$10/mo,Save $26/mo,,,,,,,,,,,
Unlimited Cloud Storage,$10/mo,Save $3.99/mo,,,,,,,,,,,
