Plan Name,Plan Price,Description,Network Speed,Data,Connected device data plan,"International data, talk, & text abroad",Device savings,Verizon Home Internet
Unlimited Ultimate,$55 ,"Our fastest 5G, where new and existing customers get our best phone deals guaranteed, and international roaming.",5G Ultra Wideband,60 GB premium mobile hotspot data,"Up to 50% off 2 watch, tablet, hotspot or Hum plans","High-speed international data, talk & text",Ultimate Phone Upgrade,"Verizon Home Internet as low as $35/mo, service availability varies"
Unlimited Plus,$45 ,"Our reliable, fastest 5G, up to 10x faster than 4G LTE2. No matter how much you use.",5G Ultra Wideband,30 GB premium mobile hotspot data,"Up to 50% off 1 watch, tablet, hotspot or Hum plan",,,"Verizon Home Internet as low as $35/mo, service availability varies"
Unlimited Welcome,$30 ,"Our reliable, fast 5G.",5G,,,,,"Verizon Home Internet as low as $35/mo, service availability varies"
,,,,,,,,
,,,,,,,,
AddOn Plan Name,AddOn Plan Price,AddOn Saving,,,,,,
Disney Bundle,$10 /mo,Save $11.99/mo,,,,,,
Netflix & Max (With Ads),$10 /mo,Save $6.98/mo,,,,,,
Apple One,$10 /mo,Save $9.95/mo,,,,,,
Walmart+ Membership,$10 /mo,Save $2.95/mo,,,,,,
Apple Music Family,$10 /mo,Save $6.99/mo,,,,,,
YouTube Premium,$10 /mo,Save $3.99/mo,,,,,,
100 GB Mobile Hotspot,$10 /mo,Save $35/mo,,,,,,
#NAME?,$10 /mo,Save $5/mo,,,,,,
3 TravelPass Days,$10 /mo,Save $26/mo,,,,,,
Unlimited Cloud Storage,$10 /mo,Save $3.99/mo,,,,,,
,,,,,,,,
Plan Name,Plan Price,Description,Network Speed,Data,Discount,Talk Options,,
"20GB, Talk & Text - BYOP",$44.00/mo.,"Text
Unlimited Canada-wide and international text, picture and video messages sent from Canada1
Texting not available with Tablet Data-only Plans
Plan features
Voicemail (up to 3 messages)2
Unlimited incoming text, picture and video messaging in Canada3
Call Display with Name Display
4G LTE network speeds so you can call, text, or stream with coverage that keeps up with you4
Plan features not available with Tablet Data-only Plans
Plan benefits
Data Overage Protection5
Data, Talk & Text plans: +5 EXTRA hours of data. Freedom from WiFi6
Now you can use your Fido postpaid mobile plan abroad for one low daily fee with Fido RoamTM7
Plan benefits (excluding Data Overage Protection) are not available with Tablet Data-only Plans",4G,20GB,After $10.00 Automatic Payments Discount,Canada and the U.S.10,,
"40GB, Talk & Text - BYOP",$49.00/mo.,"Text
Unlimited Canada-wide and international text, picture and video messages sent from Canada1
Texting not available with Tablet Data-only Plans
Plan features
Voicemail (up to 3 messages)2
Unlimited incoming text, picture and video messaging in Canada3
Call Display with Name Display
4G LTE network speeds so you can call, text, or stream with coverage that keeps up with you4
Plan features not available with Tablet Data-only Plans
Plan benefits
Data Overage Protection5
Data, Talk & Text plans: +5 EXTRA hours of data. Freedom from WiFi6
Now you can use your Fido postpaid mobile plan abroad for one low daily fee with Fido RoamTM7
Plan benefits (excluding Data Overage Protection) are not available with Tablet Data-only Plans",4G,40GB,After $10.00 Automatic Payments Discount,Canada and the U.S.10,,
"60GB, Talk & Text - BYOP",$54.00/mo.,"Text
Unlimited Canada-wide and international text, picture and video messages sent from Canada1
Texting not available with Tablet Data-only Plans
Plan features
Voicemail (up to 3 messages)2
Unlimited incoming text, picture and video messaging in Canada3
Call Display with Name Display
4G LTE network speeds so you can call, text, or stream with coverage that keeps up with you4
Plan features not available with Tablet Data-only Plans
Plan benefits
Data Overage Protection5
Data, Talk & Text plans: +5 EXTRA hours of data. Freedom from WiFi6
Now you can use your Fido postpaid mobile plan abroad for one low daily fee with Fido RoamTM7
Plan benefits (excluding Data Overage Protection) are not available with Tablet Data-only Plans",4G,60GB,After $10.00 Automatic Payments Discount,Canada and the U.S.10,,
,,,,,,,,
Add-ons,,,,,,,,
Device Protection,,,,,,,,
,,,,,,,,
planName,price,speed,data,talkTime,text,duration,,
$35 Plan,35,5G,50GB data,Unlimited,Unlimited,monthly,,
$45 Plan,45,5G,75GB data,Unlimited,Unlimited,monthly,,
$55 Plan,55,5G,100GB data,Unlimited,Unlimited,monthly,,
$5 Plan,5,5G,100MB data,2 hours,Unlimited,monthly ,,
$20 Plan,20,5G,3GB data,2 hours,Unlimited,monthly ,,
$29 Plan,29,5G,10GB data,Unlimited,Unlimited,monthly,,
$65 Plan,65,5G,100GB data,Unlimited,Unlimited,monthly,,
$99 Plan,99,4G LTE,NAN,Unlimited ,Unlimited Incoming,yearly,,
