Brand,Plan Name,Plan cost,Talk Time,Text time,Duration,Data,Speed,Internatoinal call time,Internatoinal text time,Countries,Roaming,Discount,Additional Features
fido,250MB Basic Plan - BYOP,$15.00/mo.,Unlimited Canada-wide calling10,,1,Data 250 MB of data at 3G speed,3G network speeds for light browsing and for standard definition video quality when streaming9; Voicemail (up to 3 messages)2; Unlimited incoming text- picture and video messaging in Canada3; Call Display; You must Bring Your Own Phone to use Fido Basic plans.,-,-,-,-,-,-
fido,3GB Basic Plan - BYOP,$35.00/mo.,Unlimited Canada-wide calling10,,1,Data 3 GB,3G network speeds for light browsing and for standard definition video quality when streaming9; Voicemail (up to 3 messages)2; Unlimited incoming text- picture and video messaging in Canada3; Call Display; You must Bring Your Own Phone to use Fido Basic plans.,-,-,-,-,-,-
fido,2GB- Talk & Text - BYOP,$37.50/mo.,Unlimited Canada-wide calling10,Unlimited Canada-wide and international text- picture and video messages sent from Canada1; Texting not available with Tablet Data-only Plans,1,Data 2 GB,Voicemail (up to 3 messages)2; Unlimited incoming text- picture and video messaging in Canada3; Call Display with Name Display; 4G LTE network speeds so you can call- text- or stream with coverage that keeps up with you4; Plan features not available with Tablet Data-only Plans,-,Unlimited Canada-wide and international text- picture and video messages sent from Canada1; Texting not available with Tablet Data-only Plans,-,-,-,-
fido,60GB- Talk & Text - BYOP,$39.00/mo.,Unlimited Canada-wide calling10,Unlimited Canada-wide and international text- picture and video messages sent from Canada1; Texting not available with Tablet Data-only Plans,1,Data 60 GB,Voicemail (up to 3 messages)2; Unlimited incoming text- picture and video messaging in Canada3; Call Display with Name Display; 4G LTE network speeds so you can call- text- or stream with coverage that keeps up with you4; Plan features not available with Tablet Data-only Plans,-,Unlimited Canada-wide and international text- picture and video messages sent from Canada1; Texting not available with Tablet Data-only Plans,-,-,After $10.00 Automatic Payments Discount,INCLUDES UNLIMITED CANADA-U.S. CALLING
fido,80GB- Talk & Text - BYOP,$44.00/mo.,Unlimited Canada-wide calling10,Unlimited Canada-wide and international text- picture and video messages sent from Canada1; Texting not available with Tablet Data-only Plans,1,Data 80 GB,Voicemail (up to 3 messages)2; Unlimited incoming text- picture and video messaging in Canada3; Call Display with Name Display; 4G LTE network speeds so you can call- text- or stream with coverage that keeps up with you4; Plan features not available with Tablet Data-only Plans,-,Unlimited Canada-wide and international text- picture and video messages sent from Canada1; Texting not available with Tablet Data-only Plans,-,-,After $10.00 Automatic Payments Discount,INCLUDES UNLIMITED CALLING TO 7 COUNTRIES
fido,Talk & Text Plan - BYOP,$20.00/mo.,Unlimited Canada-wide calling10,Unlimited Canada-wide and international text- picture and video messages sent from Canada1,1,Talk & Text Plan (No Data),Voicemail (up to 3 messages)2; Unlimited incoming text- picture and video messaging in Canada3; Call Display with Name Display,-,Unlimited Canada-wide and international text- picture and video messages sent from Canada1,-,-,After $10.00 Automatic Payments Discount,-
Freedom,$35 ,35,unlimited,unlimited,1,50GB,5G,-,-,Canada-US-Mexico,-,-,-
Freedom,$35 ,35,unlimited,unlimited,1,75GB,5G,unlimited,-,Canada-US-Mexico,10GB,-,-
Freedom,$45 ,45,unlimited,unlimited,1,100GB,5G,unlimited,-,Canada-US-Mexico,20GB,-,-
Freedom,$5 ,5,2 hours ,unlimited ,1,100MB,5G,unlimited,-,Canada-US-Mexico,-,-,-
Freedom,$20 ,20,2 hours ,unlimited ,1,3GB,5G,unlimited,-,Canada-US-Mexico,-,-,-
Freedom,$29 ,29,unlimited,unlimited,1,10GB,5G,-,-,Canada-US-Mexico,-,-,-
Freedom,$174 ,174,-,-,6,15GB/month,4G LTE,-,-,Canada,-,-,-
Freedom,$99 ,99,unlimited ,unlimited incoming ,12,-,4G LTE,-,-,Canada,-,-,-
Freedom,$119 ,119,unlimited,unlimited,12,1.25GB,4G LTE,-,-,Canada,-,-,-
Freedom,$149 ,149,unlimited,unlimited,12,2.5GB,4G LTE,-,-,Canada,-,-,-
PublicMobile,5G Infinite,$39 ,Unlimited,Unlimited,1,50 GB,Up to 250 Mbps,100 minutes,-,Canada,Roam Like Home e,$10/mo with Automatic Payments,Mobile hotspot-Enhanced Voicemail-Call display-Call waiting-Spam Call Detect
PublicMobile,5G Infinite,$49 ,Unlimited,Unlimited,1,50 GB,Up to 250 Mbps,250 minutes,-,Canada,Roam Like Home e,$10/mo with Automatic Payments,Mobile hotspot-Enhanced Voicemail-Call display-Call waiting-Spam Call Detect
PublicMobile,5G Infinite,$65 ,Unlimited,Unlimited,1,75 GB,Up to 1 Gbps,1000 minutes,-,Canada,Roam Like Home e,$15/mo off additional lines,Mobile hotspot-Enhanced Voicemail-Call display-Call waiting-Spam Call Detect
PublicMobile,5G Infinite,$80 ,Unlimited,Unlimited,1,150 GB,Up to 1 Gbps,1000 minutes,-,India-China,Roam Like Home e,$15/mo off additional lines + Free trials,Mobile hotspot-Enhanced Voicemail-Call display-Call waiting-Spam Call Detect
PublicMobile,5G Infinite,$100 ,Unlimited,Unlimited,1,175 GB,Up to 1 Gbps,1000 minutes,-,India-China,Roam Like Home e,$15/mo off additional lines + Free trials,Mobile hotspot-Enhanced Voicemail-Call display-Call waiting-Spam Call Detect
